country_code,month,inflation_yoy
AT,1997-01,1.2
AT,1997-02,1.4
AT,1997-03,1.2
AT,1997-04,1.2
AT,1997-05,1.3
AT,1997-06,1.0
AT,1997-07,0.9
AT,1997-08,1.3
AT,1997-09,1.2
AT,1997-10,1.1
AT,1997-11,1.1
AT,1997-12,1.0
AT,1998-01,1.2
AT,1998-02,1.0
AT,1998-03,1.0
AT,1998-04,1.2
AT,1998-05,1.0
AT,1998-06,0.8
AT,1998-07,0.8
AT,1998-08,0.7
AT,1998-09,0.6
AT,1998-10,0.7
AT,1998-11,0.5
AT,1998-12,0.5
AT,1999-01,0.3
AT,1999-02,0.2
AT,1999-03,0.2
AT,1999-04,0.1
AT,1999-05,0.4
AT,1999-06,0.2
AT,1999-07,0.3
AT,1999-08,0.5
AT,1999-09,0.6
AT,1999-10,0.8
AT,1999-11,1.0
AT,1999-12,1.7
AT,2000-01,1.4
AT,2000-02,1.9
AT,2000-03,1.9
AT,2000-04,1.8
AT,2000-05,1.6
AT,2000-06,2.4
AT,2000-07,1.9
AT,2000-08,1.9
AT,2000-09,2.3
AT,2000-10,2.2
AT,2000-11,2.3
AT,2000-12,1.8
AT,2001-01,2.3
AT,2001-02,1.8
AT,2001-03,1.9
AT,2001-04,2.6
AT,2001-05,2.9
AT,2001-06,2.6
AT,2001-07,2.8
AT,2001-08,2.4
AT,2001-09,2.4
AT,2001-10,2.3
AT,2001-11,1.9
AT,2001-12,1.8
AT,2002-01,1.9
AT,2002-02,1.7
AT,2002-03,1.7
AT,2002-04,1.7
AT,2002-05,1.6
AT,2002-06,1.5
AT,2002-07,1.5
AT,2002-08,2.0
AT,2002-09,1.6
AT,2002-10,1.6
AT,2002-11,1.7
AT,2002-12,1.7
AT,2003-01,1.7
AT,2003-02,1.7
AT,2003-03,1.8
AT,2003-04,1.3
AT,2003-05,1.0
AT,2003-06,1.0
AT,2003-07,1.0
AT,2003-08,1.0
AT,2003-09,1.3
AT,2003-10,1.1
AT,2003-11,1.3
AT,2003-12,1.3
AT,2004-01,1.2
AT,2004-02,1.5
AT,2004-03,1.6
AT,2004-04,1.6
AT,2004-05,2.1
AT,2004-06,2.3
AT,2004-07,2.1
AT,2004-08,2.2
AT,2004-09,1.8
AT,2004-10,2.3
AT,2004-11,2.3
AT,2004-12,2.5
AT,2005-01,2.4
AT,2005-02,2.3
AT,2005-03,2.4
AT,2005-04,2.3
AT,2005-05,1.9
AT,2005-06,2.0
AT,2005-07,2.1
AT,2005-08,1.9
AT,2005-09,2.5
AT,2005-10,2.1
AT,2005-11,1.7
AT,2005-12,1.5
AT,2006-01,1.5
AT,2006-02,1.5
AT,2006-03,1.3
AT,2006-04,2.1
AT,2006-05,2.1
AT,2006-06,1.9
AT,2006-07,1.9
AT,2006-08,2.1
AT,2006-09,1.4
AT,2006-10,1.2
AT,2006-11,1.5
AT,2006-12,1.6
AT,2007-01,1.7
AT,2007-02,1.7
AT,2007-03,1.9
AT,2007-04,1.8
AT,2007-05,1.9
AT,2007-06,1.9
AT,2007-07,2.0
AT,2007-08,1.7
